"dish_liked","cuisine_type","location","restuarant_type"
"Aalo Bhaja","Bengali","Kammanahalli","Quick Bites"
"Aalo Bhaja","Bengali","BTM","Quick Bites"
"Aalo Bhaja","Bengali","Marathahalli","Casual Dining"
"Aalo Bhaja","Bengali","Electronic City","Quick Bites"
"Aalo Bhaja","Bengali","HSR","Casual Dining"
"Aam Panna","North Indian","Ulsoor","Cafe"
"Aam Panna","North Indian","Old Airport Road","Fine Dining"
"Aam Panna","North Indian","JP Nagar","Casual Dining"
"Aam Panna","North Indian","Whitefield","Casual Dining"
"Aam Panna","North Indian","Banashankari","Casual Dining"
"Aam Panna","North Indian","Jayanagar","Casual Dining"
"Aam Panna","North Indian","Brookefield","Food Court"
"Aamras","Rajasthani","Whitefield","Casual Dining"
"Aamras","Rajasthani","HSR","Quick Bites"
"Aamras","Rajasthani","Malleshwaram","Casual Dining"
"Aamras","Rajasthani","Lavelle Road","Casual Dining"
"Aamras","Rajasthani","Koramangala 7th Block","Casual Dining"
"Aamras","Rajasthani","Indiranagar","Casual Dining"
"Aamras","Rajasthani","Sadashiv Nagar","Casual Dining"
"Abbabi Chicken","Fast Food","Bellandur","Quick Bites"
"Achari Chicken","North Indian","Marathahalli","Casual Dining"
"Achari Mushroom","North Indian","Electronic City","Casual Dining"
"Achari Paneer","North Indian","Whitefield","Quick Bites"
"Achari Paneer","North Indian","Indiranagar","Casual Dining"
"Achari Paneer","North Indian","HSR","Casual Dining"
"Adrak Ke Panje","Mughlai","New BEL Road","Casual Dining"
"Afghan Chicken","North Indian","Bannerghatta Road","Casual Dining"
"Afghan Chicken","North Indian","Electronic City","Casual Dining"
"Afghan Chicken","North Indian","Bellandur","Delivery"
"Afghan Chicken","North Indian","Ulsoor","Quick Bites"
"Afghani Biryani","Biryani","Jayanagar","Casual Dining"
"Afghani Chaap","Arabian","HSR","Quick Bites"
"Afghani Kebab","Finger Food","Electronic City","Bar"
"Afghani Momos","Chinese","Marathahalli","Quick Bites"
"Aglio Olio Pasta","Cafe","HSR","Cafe"
"Aglio Olio Pasta","Cafe","HSR","Quick Bites"
"Aglio Olio Pasta","Cafe","Hennur","Cafe"
"Ajwaini Paratha","North Indian","HSR","Quick Bites"
"Ajwaini Paratha","North Indian","Kalyan Nagar","Quick Bites"
"Ajwaini Paratha","North Indian","Kalyan Nagar",""
"Akki Rottis","North Indian","New BEL Road","Casual Dining"
"Akki Rottis","North Indian","New BEL Road"," Lounge"
"Akki Rottis","North Indian","Whitefield","Quick Bites"
"Akki Rottis","North Indian","Kanakapura Road","Casual Dining"
"Akki Rottis","North Indian","JP Nagar","Casual Dining"
"Akki Rottis","North Indian","Indiranagar","Casual Dining"
"Akki Rottis","North Indian","Malleshwaram","Quick Bites"
"Akki Rottis","North Indian","Malleshwaram"," Bakery"
"Akki Rottis","North Indian","Bannerghatta Road","Quick Bites"
"Akki Rottis","North Indian","Infantry Road","Quick Bites"
"Akki Rottis","North Indian","Residency Road","Quick Bites"
"Akki Rottis","North Indian","Rajajinagar","Casual Dining"
"Akki Rottis","North Indian","New BEL Road","Quick Bites"
"Akki Rottis","North Indian","JP Nagar","Quick Bites"
"Akki Rottis","North Indian","MG Road","Quick Bites"
"Akki Rottis","North Indian","Yeshwantpur","Quick Bites"
"Al Faham Chicken","Arabian","Frazer Town","Casual Dining"
"Al Faham Chicken","Arabian","Brookefield","Casual Dining"
"Al Faham Chicken","Arabian","Sarjapur Road","Quick Bites"
"Al Faham Chicken","Arabian","Electronic City","Quick Bites"
"Al Faham Chicken","Arabian","Marathahalli","Casual Dining"
"Al Faham Chicken","Arabian","Banaswadi","Quick Bites"
"Al Faham Chicken","Arabian","Kalyan Nagar","Casual Dining"
"Alfam Chicken","North Indian","Kammanahalli","Casual Dining"
"Almond Crunch","Desserts","Indiranagar","Dessert Parlor"
"Almond Flakes","Pizza","JP Nagar","Lounge"
"Almond Flakes","Pizza","JP Nagar"," Bar"
"Almond Fudge","Ice Cream","Frazer Town","Dessert Parlor"
"Almond Fudge","Ice Cream","Marathahalli","Dessert Parlor"
"Almond Fudge","Ice Cream","Basavanagudi","Dessert Parlor"
"Almond Fudge","Ice Cream","Lavelle Road","Dessert Parlor"
"Almond Fudge","Ice Cream","Indiranagar","Dessert Parlor"
"Almond Fudge","Ice Cream","Kalyan Nagar","Dessert Parlor"
"Almond Ice Cream","Ice Cream","Marathahalli","Dessert Parlor"
"Almond Ice Cream","Ice Cream","Electronic City","Dessert Parlor"
"Almond Pie","Bakery","Indiranagar","Bakery"
"Almond Pie","Bakery","Indiranagar"," Quick Bites"
"Almond Shake","Fast Food","Koramangala 5th Block","Quick Bites"
"Almond Soup","North Indian","Indiranagar","Casual Dining"
"Almond Soup","North Indian","Jayanagar","Casual Dining"
"Almond Soup","North Indian","Residency Road","Casual Dining"
"Almond Soup","North Indian","Residency Road"," Cafe"
"Aloo Biryani","Modern Indian","Shanti Nagar","Casual Dining"
"Aloo Curry","South Indian","Banaswadi","Food Court"
"Aloo Fry","North Indian","Koramangala 4th Block","Quick Bites"
"Aloo Gobhi","North Indian","Rajajinagar","Casual Dining"
"Aloo Gobhi","North Indian","Bellandur","Delivery"
"Aloo Gobhi Masala","North Indian","Marathahalli","Quick Bites"
"Aloo Jeera","North Indian","Indiranagar","Casual Dining"
"Aloo Jeera","North Indian","Kaggadasapura","Delivery"
"Aloo Kulcha","North Indian","JP Nagar","Quick Bites"
"Aloo Litti","Bihari","HSR","Takeaway"
"Aloo Litti","Bihari","HSR"," Delivery"
"Aloo Litti","Bihari","Hosur Road","Quick Bites"
"Aloo Matar","Biryani","HSR","Takeaway"
"Aloo Matar","Biryani","HSR"," Delivery"
"Aloo Matar","Biryani","Bannerghatta Road","Quick Bites"
"Aloo Methi","North Indian","Whitefield","Quick Bites"
"Aloo Palya","South Indian","Malleshwaram","Quick Bites"
"Aloo Palya","South Indian","Majestic","Quick Bites"
"Aloo Palya","South Indian","Race Course Road","Casual Dining"
"Aloo Palya","South Indian","Jayanagar","Quick Bites"
"Aloo Papdi Chaat","Cafe","Koramangala 4th Block","Cafe"
"Aloo Paratha","North Indian","Kumaraswamy Layout","Quick Bites"
"Aloo Paratha","North Indian","BTM","Quick Bites"
"Aloo Paratha","North Indian","CV Raman Nagar","Quick Bites"
"Aloo Paratha","North Indian","Bannerghatta Road","Quick Bites"
"Aloo Paratha","North Indian","Koramangala 7th Block","Quick Bites"
"Aloo Paratha","North Indian","Electronic City","Takeaway"
"Aloo Paratha","North Indian","Electronic City"," Delivery"
"Aloo Paratha","North Indian","HSR","Delivery"
"Aloo Paratha","North Indian","Koramangala 1st Block","Quick Bites"
"Aloo Paratha","North Indian","Kalyan Nagar","Casual Dining"
"Aloo Paratha","North Indian","New BEL Road","Quick Bites"
"Aloo Paratha","North Indian","Marathahalli","Quick Bites"
"Aloo Paratha","North Indian","HSR","Casual Dining"
"Aloo Paratha","North Indian","Bellandur","Quick Bites"
"Aloo Paratha","North Indian","Koramangala 4th Block","Quick Bites"
"Aloo Paratha","North Indian","HSR","Quick Bites"
"Aloo Paratha","North Indian","Whitefield","Quick Bites"
"Aloo Paratha","North Indian","Koramangala 5th Block","Casual Dining"
"Aloo Paratha","North Indian","Koramangala 4th Block","Delivery"
"Aloo Paratha","North Indian","Marathahalli","Casual Dining"
"Aloo Paratha","North Indian","Malleshwaram","Quick Bites"
"Aloo Paratha","North Indian","Sarjapur Road","Quick Bites"
"Aloo Paratha","North Indian","Koramangala 1st Block","Takeaway"
"Aloo Paratha","North Indian","Koramangala 1st Block"," Delivery"
"Aloo Paratha","North Indian","Jeevan Bhima Nagar","Quick Bites"
"Aloo Paratha","North Indian","Koramangala 2nd Block","Cafe"
"Aloo Paratha","North Indian","Church Street","Casual Dining"
"Aloo Paratha","North Indian","Indiranagar","Quick Bites"
"Aloo Paratha","North Indian","Jeevan Bhima Nagar","Takeaway"
"Aloo Paratha","North Indian","Jeevan Bhima Nagar"," Delivery"
"Aloo Paratha","North Indian","Whitefield","Casual Dining"
"Aloo Paratha","North Indian","Marathahalli"," Sweet Shop"
"Aloo Paratha","North Indian","Whitefield","Delivery"
"Aloo Paratha","North Indian","JP Nagar","Quick Bites"
"Aloo Paratha","North Indian","BTM","Cafe"
"Aloo Paratha","North Indian","Kammanahalli","Quick Bites"
"Aloo Paratha","North Indian","ITPL Main Road, Whitefield","Delivery"
"Aloo Paratha","North Indian","Kalyan Nagar","Quick Bites"
"Aloo Paratha","North Indian","Marathahalli","Delivery"
"Aloo Paratha","North Indian","Banaswadi","Casual Dining"
"Aloo Patty","Salad","Koramangala 5th Block","Quick Bites"
"Aloo Patty","Salad","Koramangala 5th Block"," Food Court"
"Aloo Pitika","Assamese","Koramangala 7th Block","Casual Dining"
"Aloo Poori","North Indian","Marathahalli","Quick Bites"
"Aloo Posto","Bengali","Marathahalli","Quick Bites"
"Aloo Posto","Bengali","Koramangala 5th Block","Casual Dining"
"Aloo Posto","Bengali","BTM","Casual Dining"
"Aloo Posto","Bengali","Koramangala 1st Block","Quick Bites"
"Aloo Posto","Bengali","Kaggadasapura","Casual Dining"
"Aloo Posto","Bengali","Jeevan Bhima Nagar","Casual Dining"
"Aloo Posto","Bengali","BTM","Quick Bites"
"Aloo Posto","Bengali","New BEL Road","Quick Bites"
"Aloo Pyaz Paratha","North Indian","Sarjapur Road","Delivery"
"Aloo Sabji","North Indian","Marathahalli","Quick Bites"
"Aloo Samosa","Street Food","Marathahalli","Quick Bites"
"Aloo Samosa","Street Food","HSR","Delivery"
"Aloo Samosa","Street Food","Electronic City","Quick Bites"
"Aloo Samosa","Street Food","Koramangala 5th Block","Quick Bites"
"Aloo Sandwich","Fast Food","Electronic City","Delivery"
"Aloo Tikka Roll","Biryani","Sarjapur Road","Quick Bites"
"Aloo Tikka Roll","Biryani","New BEL Road","Quick Bites"
"Aloo Tikki","Beverages","Kammanahalli","Casual Dining"
"Aloo Tikki","Beverages","Jeevan Bhima Nagar","Quick Bites"
"Aloo Tikki","Beverages","Jayanagar","Quick Bites"
"Aloo Tikki Burger","Fast Food","Jayanagar","Quick Bites"
"Aloo Tikki Chat","Street Food","HSR","Quick Bites"
"Aloo Tikki Chat","Street Food","HSR"," Sweet Shop"
"Aloo Tikki Chat","Street Food","Indiranagar","Quick Bites"
"Aloo Tikki Chat","Street Food","Whitefield","Quick Bites"
"Aloo Tikki Chole","Street Food","Marathahalli","Quick Bites"
"Aloo Tuk","North Indian","Malleshwaram","Casual Dining"
"Alpham Chicken","Arabian","Banaswadi","Quick Bites"
"Alur Dom","Bengali","Marathahalli","Casual Dining"
"Alur Dom","Bengali","Marathahalli","Quick Bites"
"Alur Dom","Bengali","BTM","Quick Bites"
"Ambur Biryani","Biryani","BTM","Quick Bites"
"Ambur Biryani","Biryani","HSR","Quick Bites"
"Ambur Biryani","Biryani","Koramangala 1st Block","Quick Bites"
"Ambur Biryani","Biryani","Jeevan Bhima Nagar","Quick Bites"
"Ambur Biryani","Biryani","Kalyan Nagar","Casual Dining"
"American Cheese Burger","Cafe","Koramangala 5th Block","Cafe"
"American Cheese Burger","Cafe","Koramangala 5th Block"," Casual Dining"
"American Cheese Burger","Cafe","Marathahalli","Cafe"
"American Cheese Burger","Cafe","Indiranagar","Cafe"
"American Cheese Burger","Cafe","Indiranagar"," Casual Dining"
"American Chopsuey","Chinese","Basaveshwara Nagar","Casual Dining"
"American Chopsuey","Chinese","Frazer Town","Casual Dining"
"American Chopsuey","Chinese","HSR","Casual Dining"
"American Chopsuey","Chinese","Indiranagar","Casual Dining"
"American Chopsuey","Chinese","Kaggadasapura","Casual Dining"
"American Chopsuey","Chinese","Indiranagar","Takeaway"
"American Chopsuey","Chinese","Indiranagar"," Delivery"
"American Chopsuey","Chinese","Kalyan Nagar","Casual Dining"
"American Chopsuey","Chinese","Jayanagar","Casual Dining"
"American Chopsuey","Chinese","ITPL Main Road, Whitefield","Food Court"
"Americano","Beverages","Indiranagar","Cafe"
"Americano","Beverages","Kalyan Nagar","Cafe"
"Americano","Beverages","New BEL Road","Cafe"
"Americano","Beverages","Jayanagar","Beverage Shop"
"Amritsari Kulcha","North Indian","JP Nagar","Quick Bites"
"Amritsari Kulcha","North Indian","Ulsoor","Quick Bites"
"Amritsari Kulcha","North Indian","Banaswadi","Casual Dining"
"Amritsari Kulcha","North Indian","Koramangala 7th Block","Quick Bites"
"Amritsari Paneer","Chinese","Whitefield","Casual Dining"
"Ande Ka Funda","North Indian","BTM","Quick Bites"
"Andhra Biryani","Andhra","Sankey Road","Casual Dining"
"Andhra Biryani","Andhra","Marathahalli","Casual Dining"
"Andhra Biryani","Andhra","JP Nagar","Casual Dining"
"Andhra Biryani","Andhra","Residency Road","Casual Dining"
"Andhra Biryani","Andhra","Richmond Road","Casual Dining"
"Andhra Biryani","Andhra","Koramangala 5th Block","Casual Dining"
"Andhra Biryani","Andhra","Whitefield","Casual Dining"
"Andhra Biryani","Andhra","BTM","Delivery"
"Andhra Chicken Curry","North Indian","Frazer Town","Takeaway"
"Andhra Chicken Curry","North Indian","Frazer Town"," Delivery"
"Andhra Chilli Chicken","South Indian","Church Street","Casual Dining"
"Andhra Chilli Chicken","South Indian","HSR","Bar"
"Andhra Chilli Chicken","South Indian","HSR"," Casual Dining"
"Andhra Chilli Chicken","South Indian","Indiranagar","Casual Dining"
"Andhra Chilli Chicken","South Indian","Kammanahalli","Casual Dining"
"Andhra Chilli Chicken","South Indian","Kammanahalli"," Bar"
"Andhra Meal","North Indian","BTM","Mess"
"Andhra Meal","North Indian","Whitefield","Casual Dining"
"Andhra Meal","North Indian","Indiranagar","Casual Dining"
"Andhra Meal","North Indian","Jayanagar","Casual Dining"
"Andhra Meal","North Indian","Brookefield","Casual Dining"
"Andhra Meal","North Indian","New BEL Road","Casual Dining"
"Andhra Meal","North Indian","Rajajinagar","Casual Dining"
"Andhra Meal","North Indian","Cunningham Road","Casual Dining"
"Andhra Meal","North Indian","Indiranagar"," Bar"
"Andhra Meal","North Indian","Sarjapur Road","Casual Dining"
"Andhra Meal","North Indian","Marathahalli","Casual Dining"
"Andhra Meal","North Indian","Marathahalli"," Bar"
"Andhra Meal","North Indian","Whitefield"," Bar"
"Andhra Meal","North Indian","HSR","Casual Dining"
"Andhra Meal","North Indian","Indiranagar","Quick Bites"
"Andhra Meal","North Indian","Church Street","Casual Dining"
"Andhra Meal","North Indian","JP Nagar","Casual Dining"
"Andhra Meal","North Indian","Koramangala 4th Block","Casual Dining"
"Andhra Meal","North Indian","Koramangala 5th Block","Casual Dining"
"Andhra Meal","North Indian","Frazer Town","Casual Dining"
"Andhra Meal","North Indian","Shanti Nagar","Casual Dining"
"Andhra Meal","North Indian","Kammanahalli","Casual Dining"
"Andhra Meal","North Indian","Kammanahalli"," Bar"
"Andhra Meal","North Indian","Majestic","Quick Bites"
"Andhra Meal","North Indian","Bannerghatta Road","Casual Dining"
"Andhra Meal","North Indian","Jayanagar"," Bar"
"Andhra Meal","North Indian","Bannerghatta Road"," Bar"
"Andhra Meal","North Indian","Electronic City","Quick Bites"
"Andhra Style Biryani","Biryani","Residency Road","Casual Dining"
"Andhra Style Biryani","Biryani","Whitefield","Casual Dining"
"Andhra Style Biryani","Biryani","Indiranagar","Casual Dining"
"Andhra Style Biryani","Biryani","Cunningham Road","Casual Dining"
"Andhra Style Biryani","Biryani","Electronic City","Casual Dining"
"Andhra Style Chilli Chicken","Andhra","Bannerghatta Road","Casual Dining"
"Andhra Style Chilli Chicken","Andhra","Bannerghatta Road"," Bar"
"Andhra Style Chilli Chicken","Andhra","Whitefield","Casual Dining"
"Andhra Thali","Andhra","Marathahalli","Casual Dining"
"Andhra Thali","Andhra","Indiranagar","Casual Dining"
"Andhra Thali","Andhra","HSR","Takeaway"
"Andhra Thali","Andhra","HSR"," Delivery"
"Andhra Thali","Andhra","Jayanagar","Casual Dining"
"Andhra Thali","Andhra","Jayanagar"," Bar"
"Andhra Thali","Andhra","Kammanahalli","Casual Dining"
"Andhra Thali","Andhra","Kammanahalli"," Bar"
"Andhra Thali","Andhra","Banaswadi","Casual Dining"
"Andhra Thali","Andhra","Kalyan Nagar","Casual Dining"
"Andhra Thali","Andhra","HSR","Casual Dining"
"Andhra Thali","Andhra","Koramangala 5th Block","Casual Dining"
"Angara Kebab","Arabian","HBR Layout","Casual Dining"
"Anjal Fry","Mughlai","Frazer Town","Casual Dining"
"Anjal Fry","Mughlai","RT Nagar","Casual Dining"
"Anjal Masala Fry","Seafood","JP Nagar","Casual Dining"
"Anjal Masala Fry","Seafood","Indiranagar","Casual Dining"
"Anjal Masala Fry","Seafood","Electronic City","Casual Dining"
"Anjal Masala Fry","Seafood","Banashankari","Casual Dining"
"Anjal Tava Fry","Biryani","Koramangala 7th Block","Casual Dining"
"Anjal Tava Fry","Biryani","HSR","Casual Dining"
"Anjeer Ice Cream","Cafe","Basavanagudi","Cafe"
"Anjeer Kulfi","Ice Cream","Frazer Town","Dessert Parlor"
"Anjeer Kulfi","Ice Cream","Frazer Town"," Quick Bites"
"Apollo Fish","Andhra","BTM","Casual Dining"
"Appam","Mangalorean","Koramangala 7th Block","Quick Bites"
"Appam","Mangalorean","Church Street","Casual Dining"
"Appam","Mangalorean","Whitefield","Delivery"
"Appam","Mangalorean","Koramangala 6th Block","Casual Dining"
"Appam","Mangalorean","BTM","Casual Dining"
"Appam","Mangalorean","Marathahalli","Quick Bites"
"Appam","Mangalorean","New BEL Road","Cafe"
"Appam","Mangalorean","Indiranagar","Quick Bites"
"Appam","Mangalorean","Indiranagar","Casual Dining"
"Appam","Mangalorean","Kaggadasapura","Takeaway"
"Appam","Mangalorean","Kaggadasapura"," Delivery"
"Appam","Mangalorean","Brigade Road","Casual Dining"
"Appam","Mangalorean","Marathahalli","Fine Dining"
"Appam","Mangalorean","Whitefield","Casual Dining"
"Appam","Mangalorean","Electronic City","Delivery"
"Appam","Mangalorean","Sarjapur Road","Casual Dining"
"Appam","Mangalorean","Residency Road","Casual Dining"
"Appam","Mangalorean","Kammanahalli","Casual Dining"
"Appam","Mangalorean","Malleshwaram","Casual Dining"
"Appam","Mangalorean","Malleshwaram"," Bar"
"Appam","Mangalorean","Whitefield","Quick Bites"
"Appam","Mangalorean","JP Nagar","Casual Dining"
"Appam","Mangalorean","Koramangala 5th Block","Casual Dining"
"Appam","Mangalorean","Kalyan Nagar","Pub"
"Appam","Mangalorean","Kalyan Nagar"," Casual Dining"
"Appam","Mangalorean","HSR","Casual Dining"
"Appam","Mangalorean","New BEL Road","Casual Dining"
"Appam","Mangalorean","Sadashiv Nagar","Casual Dining"
"Appam","Mangalorean","Banaswadi","Quick Bites"
"Appam","Mangalorean","Bannerghatta Road","Casual Dining"
"Appam","Mangalorean","MG Road","Casual Dining"
"Appam","Mangalorean","MG Road"," Bar"
"Appam","Mangalorean","Banaswadi","Casual Dining"
"Appam","Mangalorean","Jeevan Bhima Nagar","Casual Dining"
"Appam","Mangalorean","Malleshwaram","Fine Dining"
"Appam","Mangalorean","Marathahalli","Casual Dining"
"Appam","Mangalorean","Kammanahalli","Quick Bites"
"Appam","Mangalorean","Jayanagar","Quick Bites"
"Appam","Mangalorean","Yeshwantpur","Casual Dining"
"Appam","Mangalorean","Yelahanka","Quick Bites"
"Appam","Mangalorean","Domlur","Quick Bites"
"Appam","Mangalorean","Jayanagar","Casual Dining"
"Appam","Mangalorean","JP Nagar"," Bar"
"Appam","Mangalorean","Koramangala 6th Block","Quick Bites"
"Appam","Mangalorean","Bellandur","Casual Dining"
"Appam","Mangalorean","Domlur","Casual Dining"
"Appam","Mangalorean","BTM","Delivery"
"Appam","Mangalorean","Koramangala 1st Block","Quick Bites"
"Appam","Mangalorean","Sankey Road","Fine Dining"
"Appam","Mangalorean","Brookefield","Casual Dining"
"Appam","Mangalorean","BTM","Quick Bites"
"Appam","Mangalorean","Church Street"," Bar"
"Appam","Mangalorean","Bellandur","Quick Bites"
"Appam","Mangalorean","Richmond Road","Casual Dining"
"Appam","Mangalorean","Kalyan Nagar","Casual Dining"
"Appam","Mangalorean","Jeevan Bhima Nagar","Quick Bites"
"Appam","Mangalorean","Electronic City","Casual Dining"
"Appam","Mangalorean","Ulsoor","Casual Dining"
"Appam","Mangalorean","Seshadripuram","Casual Dining"
"Appam","Mangalorean","Race Course Road","Casual Dining"
"Appam","Mangalorean","Kalyan Nagar","Quick Bites"
"Appam","Mangalorean","Koramangala 7th Block","Food Court"
"Appam","Mangalorean","Kaggadasapura","Quick Bites"
"Appam","Mangalorean","Indiranagar","Cafe"
"Appam","Mangalorean","Bannerghatta Road","Quick Bites"
"Appam","Mangalorean","Whitefield","Food Court"
"Appam","Mangalorean","Residency Road","Fine Dining"
"Apple Cake","Bakery","Seshadripuram","Dessert Parlor"
"Apple Cake","Bakery","Rajajinagar","Bakery"
"Apple Cake","Bakery","Basavanagudi","Bakery"
"Apple Cake","Bakery","New BEL Road","Dessert Parlor"
"Apple Cake","Bakery","Basavanagudi","Dessert Parlor"
"Apple Cider","Modern Indian","Koramangala 5th Block","Microbrewery"
"Apple Cider","Modern Indian","Koramangala 5th Block"," Casual Dining"
"Apple Crumble","Ice Cream","Kalyan Nagar","Microbrewery"
"Apple Crumble","Ice Cream","Kalyan Nagar"," Casual Dining"
"Apple Crumble","Ice Cream","HSR","Dessert Parlor"
"Apple Fritters","Singaporean","Electronic City","Casual Dining"
"Apple Fritters","Singaporean","HSR","Casual Dining"
"Apple Fritters","Singaporean","HSR"," Cafe"
"Apple Jalebi","North Indian","Indiranagar","Casual Dining"
"Apple Mojito","Healthy Food","Indiranagar","Delivery"
"Apple Pie","Desserts","Church Street","Casual Dining"
"Apple Pie","Desserts","New BEL Road","Casual Dining"
"Apple Pie","Desserts","New BEL Road"," Cafe"
"Apple Pie","Desserts","St. Marks Road","Casual Dining"
"Apple Pie","Desserts","Koramangala 5th Block","Dessert Parlor"
"Apple Pie","Desserts","Frazer Town","Bakery"
"Apple Pie","Desserts","Frazer Town"," Quick Bites"
"Apple Pie","Desserts","Koramangala 6th Block","Cafe"
"Apple Pie","Desserts","Brigade Road","Dessert Parlor"
"Apple Pie","Desserts","Basavanagudi","Casual Dining"
"Apple Pie","Desserts","Indiranagar","Dessert Parlor"
"Apple Pie","Desserts","Bellandur","Bakery"
"Apple Pie","Desserts","Bellandur"," Quick Bites"
"Apple Pie","Desserts","HSR","Casual Dining"
"Apple Pie","Desserts","HSR"," Bar"
"Apple Pie","Desserts","Jayanagar","Dessert Parlor"
"Apple Pie","Desserts","MG Road","Casual Dining"
"Apple Pie","Desserts","Richmond Road","Casual Dining"
"Apple Pie","Desserts","Whitefield","Dessert Parlor"
"Apple Pie","Desserts","Whitefield"," Quick Bites"
"Apple Pie","Desserts","New BEL Road","Dessert Parlor"
"Apple Pie","Desserts","Whitefield","Food Court"
"Apple Pie","Desserts","Seshadripuram","Dessert Parlor"
"Apple Pie","Desserts","Indiranagar","Bakery"
"Apple Pie","Desserts","Indiranagar"," Quick Bites"
"Apple Pie","Desserts","Koramangala 7th Block","Dessert Parlor"
"Apple Pie","Desserts","BTM","Dessert Parlor"
"Apple Pie","Desserts","Whitefield","Casual Dining"
"Apple Pie","Desserts","Whitefield"," Cafe"
"Apple Pie Ice Cream","Ice Cream","BTM","Dessert Parlor"
"Apple Tart","North Indian","Frazer Town","Bakery"
"Apple Tart","North Indian","Frazer Town"," Cafe"
"Apple Tart","North Indian","St. Marks Road","Casual Dining"
"Appletini","Modern Indian","Lavelle Road","Casual Dining"
"Appletini","Modern Indian","Lavelle Road"," Microbrewery"
"Arabian Grape Juice","North Indian","St. Marks Road","Quick Bites"
"Arabian Grape Juice","North Indian","Kammanahalli","Casual Dining"
"Arabian Grape Juice","North Indian","Whitefield","Quick Bites"
"Arabian Grape Juice","North Indian","JP Nagar","Quick Bites"
"Arabian Grape Juice","North Indian","RT Nagar","Casual Dining"
"Arabian Kebab","Arabian","Kammanahalli","Casual Dining"
"Arabian Pulpy Grape Juice","North Indian","BTM","Quick Bites"
"Arabic Cuisine","North Indian","Kammanahalli","Casual Dining"
"Arabic Cuisine","North Indian","Kammanahalli","Quick Bites"
"Arabic Cuisine","North Indian","Koramangala 7th Block","Casual Dining"
"Arabic Cuisine","North Indian","Kalyan Nagar","Casual Dining"
"Arugula Salad","Cafe","Koramangala 5th Block","Cafe"
"Arugula Salad","Cafe","Lavelle Road","Cafe"
"Arugula Salad","Cafe","Lavelle Road"," Quick Bites"
"Asparagus Risotto","Thai","MG Road","Casual Dining"
"Asparagus Risotto","Thai","MG Road"," Bar"
"Asparagus Soup","Continental","JP Nagar","Casual Dining"
"Asparagus Soup","Continental","Old Airport Road","Fine Dining"
"Au Gratin","Continental","Jayanagar","Casual Dining"
"Au Gratin","Continental","New BEL Road","Cafe"
"Avakai Chicken Biryani","Biryani","Marathahalli","Casual Dining"
"Avakai Chicken Biryani","Biryani","Kalyan Nagar","Casual Dining"
"Avocado Ice Cream","Asian","Indiranagar","Casual Dining"
"Avocado Sandwich","Cafe","Lavelle Road","Cafe"
"Avocado Sandwich","Cafe","Lavelle Road"," Quick Bites"
"Avocado Toast","Mexican","Indiranagar","Casual Dining"
"Babaganush","Lebanese","HSR","Casual Dining"
"Babaganush","Lebanese","Koramangala 5th Block","Casual Dining"
"Babaganush","Lebanese","Koramangala 5th Block"," Bar"
"Babaganush","Lebanese","Electronic City","Fine Dining"
"Baby Corn Masala","Biryani","Old Airport Road","Casual Dining"
"Babycorn Manchurian","Thai","JP Nagar","Casual Dining"
"Babycorn Manchurian","Thai","Sadashiv Nagar","Casual Dining"
"Babycorn Manchurian","Thai","Jayanagar","Cafe"
"Babycorn Manchurian","Thai","Jayanagar","Quick Bites"
"Babycorn Manchurian","Thai","Jeevan Bhima Nagar","Quick Bites"
"Babycorn Manchurian","Thai","New BEL Road","Casual Dining"
"Babycorn Manchurian","Thai","Basavanagudi","Quick Bites"
"Babycorn Manchurian","Thai","Cunningham Road","Casual Dining"
"Babycorn Manchurian","Thai","Banashankari","Casual Dining"
"Babycorn Manchurian","Thai","Jayanagar","Casual Dining"
"Babycorn Manchurian","Thai","Rajajinagar","Casual Dining"
"Bacon Burger","Fast Food","Ejipura","Delivery"
"Bacon Burger","Fast Food","Vasanth Nagar","Casual Dining"
"Bacon Burger","Fast Food","Frazer Town","Takeaway"
"Bacon Burger","Fast Food","Frazer Town"," Delivery"
"Bacon Fry","American","Whitefield","Delivery"
"Bacon Fry","American","Bannerghatta Road","Delivery"
"Bacon Pizza","Pizza","Koramangala 4th Block","Casual Dining"
"Bacon Pizza","Pizza","Koramangala 4th Block"," Cafe"
"Baconator Burger","Steak","Whitefield","Casual Dining"
"Baconator Burger","Steak","Whitefield"," Cafe"
"Badam Halwa","South Indian","Race Course Road","Quick Bites"
"Badam Halwa","South Indian","Malleshwaram","Quick Bites"
"Badam Halwa","South Indian","Kalyan Nagar","Quick Bites"
"Badam Halwa","South Indian","Race Course Road","Casual Dining"
"Badam Halwa","South Indian","St. Marks Road","Quick Bites"
"Badam Halwa","South Indian","Lavelle Road","Casual Dining"
"Badam Halwa","South Indian","Lavelle Road"," Bar"
"Badam Halwa","South Indian","Vijay Nagar","Quick Bites"
"Badam Halwa","South Indian","JP Nagar","Quick Bites"
"Badam Halwa","South Indian","Whitefield","Casual Dining"
"Badam Halwa","South Indian","Basavanagudi","Quick Bites"
"Badam Halwa","South Indian","Commercial Street","Casual Dining"
"Badam Milk","Fast Food","Jayanagar","Quick Bites"
"Badam Milk","Fast Food","Malleshwaram","Quick Bites"
"Badam Milk","Fast Food","Commercial Street","Quick Bites"
"Badam Milk","Fast Food","Indiranagar","Sweet Shop"
"Badam Milk","Fast Food","Indiranagar"," Quick Bites"
